handle,text,url
Rollings_Jrn,@wizkidayo doing good music... #hail,http://www.twitter.com/Rollings_Jrn/status/347427486654685185
SeauxCocoa,you go gurl! RT @LisaLisa1908: It's official. #Hail #classof2013 http://t.co/1pKYTaOaNK,http://www.twitter.com/SeauxCocoa/status/347425285014171651
LisaLisa1908,It's official. #Hail #classof2013 http://t.co/7StOy5wJXr,http://www.twitter.com/LisaLisa1908/status/347425178004885505
morganfaast,It's supposed to be summer. What is this 😑 #rain #hail,http://www.twitter.com/morganfaast/status/347424838161408000
iAmWhoiGraham,Just realized Michigan football has the #1 recruiting class for the 2014 season #hail,http://www.twitter.com/iAmWhoiGraham/status/347422993829462016
ShanKsayDat,Bless up king RT @Rollings_Jrn: Its been a while I saw this amazing artist @ShanKsayDat tweet.. But glad you did today #hail,http://www.twitter.com/ShanKsayDat/status/347418804718014464
Rollings_Jrn,Its been a while I saw this amazing artist @ShanKsayDat tweet.. But glad you did today #hail,http://www.twitter.com/Rollings_Jrn/status/347417356236107777
killian_13,Not even nervous. I'm just excited. #Hail,http://www.twitter.com/killian_13/status/347416581745299457
BuffaloBill86,#Hail rt“@UofM_Updates: 73 days till Michigan Football returns! #GoBlue”,http://www.twitter.com/BuffaloBill86/status/347412759526383617
itti584,"Now In #hail
To attend the wedding of our dear friend fawaz’s brothers

Cc : @fowaz11221
With : @qw_qe",http://www.twitter.com/itti584/status/347410202716405760
MrKingNation,@LL_Lean @zachariah305 #Gospel #Hail,http://www.twitter.com/MrKingNation/status/347408885738524676
ElkhartFBCoach,"@georgewhitfield Now THAT is a great post, Coach! #GoBlue #Hail #LeadersAndBest",http://www.twitter.com/ElkhartFBCoach/status/347407246965239808
AvonSohsten,Hopefully my #CliffRichard Rose will survive #Hail #Thunder #HeavyRain according to our weather… http://t.co/5KhudkCyhn,http://www.twitter.com/AvonSohsten/status/347402983555878913
stxnorml,GIVING A #ROYAL #HAIL TO THE ONE CALLED fyahreddbeard . One of #usvinorml first #sponsors . This #CD… http://t.co/ckZ2Puvw7Z,http://www.twitter.com/stxnorml/status/347399218744410113
Clydes,Which location? RT @stuartberlow: Excited to meet all the @UmichStudents interning in Washington tonite @Clydes! #TMD #hail,http://www.twitter.com/Clydes/status/347388926606057473
